exception_id,surface_key,gap_status,claim_scope,lane_id,seam_family,seam_detail,owner_area,rationale,temporary_allowed_claim,prohibited_claim,replacement_bead,replacement_condition,created_at_utc,expires_at_utc,status,notes
bd-2mbp-exc-001,onboarding-completion-routing,covered-with-seams,bounded deterministic onboarding-flow coverage,"app/RecorditAppUITests/RecorditAppUITests.swift::testFirstRunOnboardingHappyPathTransitionsToMainRuntime|app/AppShell/onboarding_completion_smoke.swift::main",ui_test_mode|preview_di|stub,"RECORDIT_UI_TEST_MODE|AppEnvironment.preview()|stub services","app/RecorditApp|app/AppShell|app/RecorditAppUITests","Current strongest lane verifies onboarding routing semantics but still substitutes production startup/runtime surfaces.","Onboarding completion routing is covered with seams for deterministic flow regressions.","No claim that first-run onboarding is production-real or fully verified.",bd-2ph4,"A production AppEnvironment lane launches the real app shell and reaches the main shell without UI-test-mode or preview DI.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Keep row active until the matrix no longer lists UI-test-mode or preview DI as the strongest lane."
bd-2mbp-exc-002,permission-remediation,covered-with-seams,bounded scripted remediation-flow coverage,"app/RecorditAppUITests/RecorditAppUITests.swift::testPermissionDenialRemediationRecoversToOnboardingProgression|app/AppShell/permission_remediation_smoke.swift::main",ui_test_mode|fixture,"scripted preflight payloads|ui-test-mode bypass","app/AppShell|app/RecorditAppUITests","Current lane verifies remediation UX and copy, but not a real TCC denial/regrant round trip.","Permission remediation is covered with seams for deterministic UX regression proof.","No claim that real macOS permission recovery is fully verified.",bd-2ptr,"A no-bypass lane proves permission remediation cannot pass solely on scripted payloads or UI-test-mode seams.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Real TCC/system-settings behavior remains out of scope for the current lane."
bd-2mbp-exc-003,startup-runtime-readiness,covered-with-seams,service-level runtime/model lookup regression coverage,"app/RuntimeProcessLayer/runtime_binary_readiness_smoke.swift::main|app/RecorditAppTests/RecorditAppTests.swift::testRuntimeBinaryReadinessRejectsRelativeOverride|scripts/verify_recordit_release_context.sh",temp_filesystem|packaged_checks,"temp executable shims and test doubles|packaged audit is non-launching","app/RuntimeProcessLayer|app/RecorditAppTests|scripts","The repo can validate path rules and packaged payload shape, but not a true packaged launch-to-readiness path.","Startup readiness is covered with seams for path-validation and packaged-audit claims.","No claim that packaged Recordit.app startup/runtime readiness is fully verified end to end.",bd-2ph4,"A packaged or production-backed lane launches the app and resolves runtime/model payloads without synthetic bundle layouts.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Packaged audits remain valuable but non-launching."
bd-2mbp-exc-004,preflight-contract-gating,covered-with-seams,bounded preflight contract and gating proof,"app/Preflight/preflight_gating_smoke.swift::main|app/RecorditAppTests/RecorditAppTests.swift::testPreviewEnvironmentRuntimeAndPreflightContracts",fixture|preview_di,"fixture envelopes and preview environment","app/Preflight|app/RecorditAppTests","The lane verifies readiness vocabulary and gating policy, but does not prove the shipped app surfaces Rust-authoritative preflight state.","Preflight contract and gating are covered with seams for schema/policy regression coverage.","No claim that shipped-app preflight gating is fully verified.",bd-2ph4,"A production app lane proves real preflight execution and UI wiring in the shipped context.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Fixture envelopes are acceptable only while claim scope stays bounded."
bd-2mbp-exc-005,app-shell-runtime-lifecycle,covered-with-seams,bounded lifecycle and finalization regression coverage,"app/RuntimeProcessLayer/process_lifecycle_integration_smoke.swift::main|app/ViewModels/runtime_stop_finalization_smoke.swift::main|app/RecorditAppUITests/RecorditAppUITests.swift::testLiveRunStartStopShowsRuntimeStatusTranscriptAndSummary",scripted_runtime|runtime_override|fixture,"scripted runtime services|/usr/bin/true overrides|synthetic manifests","app/Integration|app/ViewModels|app/RecorditAppUITests|app/RuntimeProcessLayer","Current lanes cover many lifecycle branches, but the strongest app-visible proof still substitutes runtime execution or retained artifacts.","App-shell lifecycle is covered with seams for bounded regression and failure-handling claims.","No claim that the production app shell to actual runtime process path is fully covered.",bd-2ph4,"The app shell starts and stops the real runtime process and surfaces retained artifacts without scripted runtime or /usr/bin/true overrides.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Retain row until app-shell to runtime path is production-backed."
bd-2mbp-exc-006,live-runtime-streaming,covered-with-seams,bounded runtime streaming and observability proof,"tests/live_stream_true_live_integration.rs::live_stream_emits_stable_before_timeout_and_artifacts_grow_in_flight|tests/runtime_live_stream_observability.rs|src/live_capture.rs",fake_capture|fixture,"RECORDIT_FAKE_CAPTURE_FIXTURE deterministic capture|prerequisite-based skips","tests|src/live_capture.rs","Real binaries run, but capture input and prerequisite handling still prevent live-real claim scope.","Live runtime streaming is covered with seams for deterministic runtime/observability regression proof.","No claim that true device/TCC-backed live capture is fully verified.",bd-11vg,"A live-real lane proves true capture devices and app-owned runtime flow without fake capture fixtures or prerequisite-based skips.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"This row is a direct policy input for scanner and wording enforcement."
bd-2mbp-exc-007,fault-handling,covered-with-seams,bounded runtime fault-classification proof,"tests/live_asr_fault_injection_e2e.rs|tests/transcribe_live_failed_status_contract.rs|tests/recordit_exit_behavior_matrix.rs",fixture|temp_filesystem,"synthetic fixtures and direct binary invocation","tests|src/bin/transcribe_live","Current lanes prove fault vocabulary and retention semantics but not packaged-app UX recovery under shared evidence roots.","Fault handling is covered with seams for contract and bounded failure-path regression claims.","No claim that packaged-app runtime recovery is fully verified.",bd-13tm,"A packaged or app-driven lane shares the same fault evidence contract and recovery surface with the user-visible app path.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Do not collapse contract/fault proof into full product-journey wording."
bd-2mbp-exc-008,session-artifact-promotion,covered-with-seams,service-level retained-session repair and promotion proof,"app/Services/pending_queue_integration_smoke.swift::main|app/Services/pending_transcribe_action_smoke.swift::main|app/Services/startup_migration_repair_smoke.swift::main",temp_filesystem|mock,"synthetic roots and mock runtime/library services","app/Services","Current lanes prove sidecar, promotion, and repair logic, but not over retained sessions produced by the real app/runtime path.","Session artifact promotion is covered with seams for service-level repair and migration claims.","No claim that retained-session promotion is fully verified in the production app journey.",bd-10ou,"A stronger real-filesystem retained-session lane exists and becomes the strongest proof without mock library/runtime seams.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,replacement_in_progress,"Update or retire this row once the canonical matrix is refreshed to use the bd-10ou lane as strongest proof."
bd-2mbp-exc-009,session-history-search,covered-with-seams,service-level retained-session search and detail proof,"app/Services/real_filesystem_session_integration_smoke.swift::main|app/ViewModels/session_list_smoke.swift::main|app/Services/session_search_index_smoke.swift::main",temp_filesystem|mock,"real temp session roots plus remaining mock navigation/view-model seams","app/ViewModels|app/Services|app/Navigation","bd-10ou improved the strongest service-level lane, but packaged-app history/search proof is still absent.","Session history and search are covered with seams for service-level retained-session regression claims.","No claim that search/history behavior is fully verified in installed or production app context.",bd-10ou,"The canonical matrix is refreshed and a packaged or app-level lane proves history/search against retained sessions from product flows.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,replacement_in_progress,"This row intentionally records the post-bd-10ou stronger lane instead of the older mock-library-only baseline."
bd-2mbp-exc-010,export-actions,covered-with-seams,service-level export and diagnostics-redaction proof,"app/Services/real_filesystem_session_integration_smoke.swift::main|app/Exports/export_smoke.swift::main|app/Exports/session_export_view_model_smoke.swift::main",temp_filesystem|fixture|mock,"real temp session roots plus remaining fixture/view-model export seams","app/Exports|app/UIAutomation|app/Services","bd-10ou added a no-mock service-level export lane, but the product-journey/export-UI surface is still seam-bearing.","Export actions are covered with seams for service-level export and redaction regression claims.","No claim that export behavior is fully verified in app-level or packaged-user journey scope.",bd-10ou,"The canonical matrix is refreshed and a product-journey export lane proves export from real completed sessions in app context.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,replacement_in_progress,"Use this row to keep downstream CI honest while the stronger bd-10ou lane is propagated into the matrix."
bd-2mbp-exc-011,ui-automation-live-run,covered-with-seams,bounded retained UI-flow evidence coverage,"app/RecorditAppUITests/RecorditAppUITests.swift|scripts/ci_recordit_xctest_evidence.sh",ui_test_mode|scripted_runtime|runtime_override,"RECORDIT_UI_TEST_MODE=1|scripted preflight/runtime|/usr/bin/true runtime overrides","app/RecorditAppUITests|scripts","The lane retains rich evidence and is useful for visible flow regressions, but it is still powered by explicit bypasses.","UI automation live-run coverage is covered with seams for deterministic visible-flow evidence.","No claim that the production environment live run is fully verified.",bd-2ptr,"Anti-bypass verification proves the lane cannot be mistaken for production truth and a stronger no-bypass path exists for the critical surface.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"Rich retained evidence does not override seam reality."
bd-2mbp-exc-012,packaged-local-app-path,partial,bounded packaged payload and fake-capture smoke proof,"scripts/verify_recordit_release_context.sh|scripts/gate_packaged_live_smoke.sh",packaged_checks|fake_capture|runtime_override,"deterministic fake capture and non-UI launch path","scripts|dist/Recordit.app","The lane is the strongest packaged proof today, but it still caps out below install/open and true live capture truth.","Packaged local app path is partially covered for signing, payload, and bounded packaged-smoke claims.","No claim that installed DMG launch, first-run onboarding, or live capture is fully verified.",bd-3co8,"A retained automated installed-DMG lane proves drag-install to first launch to first live stop without fake capture or compatibility-only overrides.",2026-03-06T00:00:00Z,2026-04-15T00:00:00Z,active,"This row exists so packaged smoke value is preserved without overstating install-surface confidence."
